% Columns:
% 1. Instrument
% 2. Date
% 3. Latitude
% 4. Longitude
% 5. GMT
% 6. Vessel
% 7. Cruise
% 8. Station Name
% 9. Consecutive Station Number
% 10. Station Bottom Depth
% 11. Principal Investigator
% 12. Project
% 13. Funding Agency
% 14. Geographic Region
SBE911+,  May 02 2008, 60.0192, -149.3558,   07:28:12, TX, TXS08, RES2.5, 001, 295,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 06 2008, 59.1180, -148.7693,   06:28:41, TX, TXS08, GAK6,   021, 152,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 06 2008, 59.0468, -148.7003,   07:31:20, TX, TXS08, GAK6I,  022, 190,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 06 2008, 58.9722, -148.6283,   08:22:47, TX, TXS08, GAK7,   023, 243,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 06 2008, 58.8810, -148.5577,   09:31:21, TX, TXS08, GAK7I,  024, 300,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 06 2008, 58.7920, -148.4887,   10:27:35, TX, TXS08, GAK8,   025, 291,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 06 2008, 58.7420, -148.4178,   11:20:34, TX, TXS08, GAK8I,  026, 289,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 06 2008, 58.6792, -148.3480,   12:15:49, TX, TXS08, GAK9,   027, 278,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 07 2008, 60.2797, -147.9832,   00:49:29, TX, TXS08, KIP2,   028, 589,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 07 2008, 60.2793, -147.9842,   01:50:54, TX, TXS08, KIP2,   029, 589,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 07 2008, 60.2793, -147.9842,   02:28:06, TX, TXS08, KIP2,   030, 589,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 07 2008, 60.2793, -147.9842,   02:51:13, TX, TXS08, KIP2,   031, 589,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 07 2008, 60.2793, -147.9842,   03:13:41, TX, TXS08, KIP2,   032, 589,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 07 2008, 60.3803, -147.9408,   04:17:29, TX, TXS08, PWS1,   033, 349,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 07 2008, 60.5347, -147.8015,   05:55:12, TX, TXS08, PWS2,   034, 739,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
SBE911+,  May 07 2008, 60.5393, -147.8090,   06:46:52, TX, TXS08, PWS2,   035, 739,  Weingartner,  LTOP,  NPRB,  Gulf of Alaska 
